timestamp,device,ip,status,latency_ms
2025-11-18 13:27:53,Core Router,8.8.8.8,UP,95.0
2025-11-18 13:27:53,WiFi Controller,8.8.4.4,UP,34.0
2025-11-18 13:27:53,Lab Switch,1.1.1.1,UP,10.0
2025-11-18 13:28:03,Core Router,8.8.8.8,UP,63.0
2025-11-18 13:28:27,Core Router,8.8.8.8,UP,81.0
2025-11-18 13:28:27,WiFi Controller,8.8.4.4,UP,57.0
2025-11-18 13:28:27,Lab Switch,1.1.1.1,UP,19.0
2025-11-18 13:28:37,Core Router,8.8.8.8,UP,128.0
2025-11-18 13:28:37,WiFi Controller,8.8.4.4,UP,66.0
2025-11-18 13:28:37,Lab Switch,1.1.1.1,UP,18.0
2025-11-18 13:28:47,Core Router,8.8.8.8,UP,35.0
2025-11-18 13:28:47,WiFi Controller,8.8.4.4,UP,32.0
2025-11-18 13:28:47,Lab Switch,1.1.1.1,UP,13.0
2025-11-18 13:28:58,Core Router,8.8.8.8,UP,146.0
2025-11-18 13:28:58,WiFi Controller,8.8.4.4,UP,31.0
2025-11-18 13:28:58,Lab Switch,1.1.1.1,UP,15.0
2025-11-18 13:29:08,Core Router,8.8.8.8,UP,49.0
2025-11-18 13:29:08,WiFi Controller,8.8.4.4,UP,40.0
2025-11-18 13:29:08,Lab Switch,1.1.1.1,UP,31.0
2025-11-18 13:29:18,Core Router,8.8.8.8,UP,38.0
2025-11-18 13:29:18,WiFi Controller,8.8.4.4,UP,29.0
2025-11-18 13:29:18,Lab Switch,1.1.1.1,UP,12.0
2025-11-18 13:29:28,Core Router,8.8.8.8,UP,109.0
2025-11-18 13:29:29,WiFi Controller,8.8.4.4,UP,70.0
2025-11-18 13:29:29,Lab Switch,1.1.1.1,UP,21.0
2025-11-18 13:29:39,Core Router,8.8.8.8,UP,46.0
2025-11-18 13:29:39,WiFi Controller,8.8.4.4,UP,39.0
2025-11-18 13:29:39,Lab Switch,1.1.1.1,UP,12.0
2025-11-18 13:29:49,Core Router,8.8.8.8,UP,143.0
2025-11-18 13:29:49,WiFi Controller,8.8.4.4,UP,96.0
2025-11-18 13:29:49,Lab Switch,1.1.1.1,UP,19.0
